,x,y,z,layer,region,type
120,3380.6753701921466,-1114.979833014761,-3192.331264092868,L6,S1FL,LineSource
121,3404.7703701921464,-1121.018833014761,-3160.9792640928677,L6,S1FL,LineSource
122,3428.8653701921467,-1127.057833014761,-3129.626264092868,L6,S1FL,LineSource
123,3452.9593701921467,-1133.096833014761,-3098.2742640928677,L6,S1FL,LineSource
124,3477.0543701921465,-1139.134833014761,-3066.922264092868,L6,S1FL,LineSource
125,3501.1493701921463,-1145.173833014761,-3035.569264092868,L6,S1FL,LineSource
126,3525.2443701921466,-1151.212833014761,-3004.2172640928675,L6,S1FL,LineSource
127,3549.3383701921466,-1157.251833014761,-2972.864264092868,L6,S1FL,LineSource
128,3573.4333701921464,-1163.290833014761,-2941.5122640928676,L6,S1FL,LineSource
129,3597.5283701921467,-1169.3298330147609,-2910.1602640928677,L6,S1FL,LineSource
130,3621.6243701921467,-1175.3688330147609,-2878.8072640928676,L6,S1FL,LineSource
131,3645.7183701921467,-1181.4078330147609,-2847.4552640928678,L6,S1FL,LineSource
132,3669.8133701921465,-1187.446833014761,-2816.1022640928677,L6,S1FL,LineSource
133,3693.9083701921463,-1193.485833014761,-2784.750264092868,L6,S1FL,LineSource
134,3718.0033701921466,-1199.524833014761,-2753.398264092868,L6,S1FL,LineSource
135,3742.0973701921466,-1205.563833014761,-2722.045264092868,L6,S1FL,LineSource
136,3766.1923701921464,-1211.602833014761,-2690.6932640928676,L5,S1FL,LineSource
137,3790.2873701921467,-1217.641833014761,-2659.340264092868,L5,S1FL,LineSource
138,3814.3823701921465,-1223.680833014761,-2627.9882640928677,L5,S1FL,LineSource
139,3838.4763701921465,-1229.719833014761,-2596.636264092868,L5,S1FL,LineSource
140,3862.5713701921463,-1235.757833014761,-2565.2832640928677,L5,S1FL,LineSource
141,3886.6663701921466,-1241.796833014761,-2533.931264092868,L5,S1FL,LineSource
142,3910.7613701921464,-1247.835833014761,-2502.578264092868,L5,S1FL,LineSource
143,3934.8553701921464,-1253.874833014761,-2471.226264092868,L5,S1FL,LineSource
144,3958.9503701921467,-1259.913833014761,-2439.8742640928676,L5,S1FL,LineSource
145,3983.0453701921465,-1265.952833014761,-2408.5212640928676,L5,S1FL,LineSource
146,4007.1403701921463,-1271.991833014761,-2377.1692640928677,L5,S1FL,LineSource
147,4031.2343701921463,-1278.030833014761,-2345.817264092868,L5,S1FL,LineSource
148,4055.3293701921466,-1284.069833014761,-2314.464264092868,L5,S1FL,LineSource
149,4079.4243701921464,-1290.1088330147609,-2283.112264092868,L4,S1FL,LineSource
150,4103.519370192146,-1296.1478330147609,-2251.759264092868,L4,S1FL,LineSource
151,4127.613370192146,-1302.1868330147609,-2220.407264092868,L4,S1FL,LineSource
152,4151.7083701921465,-1308.225833014761,-2189.0552640928677,L4,S1FL,LineSource
153,4175.803370192147,-1314.264833014761,-2157.7022640928676,L3,S1FL,LineSource
154,4199.898370192146,-1320.3028330147608,-2126.3502640928677,L3,S1FL,LineSource
155,4223.992370192146,-1326.341833014761,-2094.9972640928677,L3,S1FL,LineSource
156,4248.087370192146,-1332.380833014761,-2063.645264092868,L3,S1FL,LineSource
157,4272.182370192147,-1338.419833014761,-2032.2932640928677,L3,S1FL,LineSource
158,4296.278370192146,-1344.458833014761,-2000.940264092868,L3,S1FL,LineSource
159,4320.372370192146,-1350.497833014761,-1969.5882640928678,L3,S1FL,LineSource
160,4344.4673701921465,-1356.536833014761,-1938.2352640928677,L3,S1FL,LineSource
161,4368.562370192147,-1362.575833014761,-1906.8832640928676,L3,S1FL,LineSource
162,4392.657370192146,-1368.614833014761,-1875.5312640928678,L2,S1FL,LineSource
163,4416.751370192146,-1374.653833014761,-1844.1782640928677,L2,S1FL,LineSource
164,4440.846370192146,-1380.692833014761,-1812.8262640928679,L2,S1FL,LineSource
165,4464.941370192147,-1386.731833014761,-1781.4732640928678,L2,S1FL,LineSource
166,4489.036370192147,-1392.770833014761,-1750.1212640928677,L1,S1FL,LineSource
167,4513.130370192146,-1398.809833014761,-1718.7692640928676,L1,S1FL,LineSource
168,4537.225370192146,-1404.8488330147609,-1687.4162640928678,L1,S1FL,LineSource
169,4561.320370192147,-1410.8878330147609,-1656.0642640928677,L1,S1FL,LineSource
170,4585.415370192147,-1416.9258330147609,-1624.7112640928676,Outside,Outside,LineSource
171,4609.509370192147,-1422.9648330147609,-1593.3592640928678,Outside,Outside,LineSource
172,4633.604370192146,-1429.0038330147609,-1562.007264092868,Outside,Outside,LineSource
173,4657.6993701921465,-1435.042833014761,-1530.6542640928678,Outside,Outside,LineSource
174,4681.794370192147,-1441.0818330147608,-1499.3022640928677,Outside,Outside,LineSource
175,4705.888370192147,-1447.120833014761,-1467.949264092868,Outside,Outside,LineSource
176,4729.983370192146,-1453.159833014761,-1436.5972640928678,Outside,Outside,LineSource
177,4754.078370192146,-1459.198833014761,-1405.2452640928677,Outside,Outside,LineSource
178,4778.173370192147,-1465.237833014761,-1373.8922640928677,Outside,Outside,LineSource
179,4802.267370192147,-1471.276833014761,-1342.5402640928678,Outside,Outside,LineSource
180,4826.362370192146,-1477.315833014761,-1311.1872640928677,Outside,Outside,LineSource
181,4850.457370192146,-1483.354833014761,-1279.8352640928676,Outside,Outside,LineSource
182,4874.552370192147,-1489.393833014761,-1248.4832640928678,Outside,Outside,LineSource
183,4898.646370192147,-1495.431833014761,-1217.1302640928677,Outside,Outside,LineSource
184,4922.741370192147,-1501.470833014761,-1185.7782640928679,Outside,Outside,LineSource
185,4946.836370192146,-1507.509833014761,-1154.4262640928678,Outside,Outside,LineSource
186,4970.932370192147,-1513.549833014761,-1123.0732640928677,Outside,Outside,LineSource
187,4995.026370192147,-1519.587833014761,-1091.7212640928678,Outside,Outside,LineSource
188,5019.121370192146,-1525.626833014761,-1060.3682640928678,Outside,Outside,LineSource
189,5043.216370192146,-1531.665833014761,-1029.0162640928677,Outside,Outside,LineSource
190,5067.311370192147,-1537.7048330147609,-997.6642640928678,Outside,Outside,LineSource
191,5091.405370192147,-1543.743833014761,-966.3112640928678,Outside,Outside,LineSource
192,2794.2433701921464,-951.5058330147609,-3960.465264092868,Outside,Outside,LineSource
193,2818.3373701921464,-957.544833014761,-3929.112264092868,Outside,Outside,LineSource
194,2842.4323701921467,-963.583833014761,-3897.760264092868,Outside,Outside,LineSource
195,2866.5273701921465,-969.622833014761,-3866.4082640928677,Outside,Outside,LineSource
196,2890.6223701921463,-975.661833014761,-3835.0552640928677,Outside,Outside,LineSource
197,2914.7163701921463,-981.699833014761,-3803.703264092868,Outside,Outside,LineSource
198,2938.812370192147,-987.739833014761,-3772.3502640928677,Outside,Outside,LineSource
199,2962.9073701921466,-993.778833014761,-3740.9982640928674,Outside,Outside,LineSource
200,2987.0023701921464,-999.8178330147609,-3709.6462640928676,Outside,Outside,LineSource
201,3011.0963701921464,-1005.855833014761,-3678.2932640928675,Outside,Outside,LineSource
202,3035.1913701921467,-1011.8948330147609,-3646.9412640928676,Outside,Outside,LineSource
203,3059.2863701921465,-1017.9338330147609,-3615.589264092868,Outside,Outside,LineSource
204,3083.3813701921463,-1023.9728330147609,-3584.2362640928677,Outside,Outside,LineSource
205,3107.4753701921463,-1030.011833014761,-3552.884264092868,Outside,Outside,LineSource
206,3131.5703701921466,-1036.0508330147609,-3521.531264092868,Outside,Outside,LineSource
207,3155.6653701921464,-1042.0898330147609,-3490.179264092868,Outside,Outside,LineSource
208,3179.7603701921466,-1048.1288330147609,-3458.8272640928676,Outside,Outside,LineSource
209,3203.8543701921462,-1054.167833014761,-3427.474264092868,Outside,Outside,LineSource
210,3227.9493701921465,-1060.2068330147608,-3396.1222640928677,Outside,Outside,LineSource
211,3252.0443701921467,-1066.245833014761,-3364.7692640928676,Outside,Outside,LineSource
212,3276.1393701921465,-1072.284833014761,-3333.4172640928678,Outside,Outside,LineSource
213,3300.2333701921466,-1078.323833014761,-3302.065264092868,Outside,Outside,LineSource
214,3324.3283701921464,-1084.361833014761,-3270.712264092868,Outside,Outside,LineSource
215,3348.4233701921466,-1090.400833014761,-3239.3602640928675,L6,S1FL,LineSource
216,3372.5183701921464,-1096.439833014761,-3208.007264092868,L6,S1FL,LineSource
217,3396.6123701921465,-1102.478833014761,-3176.6552640928676,L6,S1FL,LineSource
218,3420.7073701921463,-1108.517833014761,-3145.3032640928677,L6,S1FL,LineSource
219,3444.8023701921466,-1114.556833014761,-3113.9502640928677,L6,S1FL,LineSource
220,3468.8973701921464,-1120.595833014761,-3082.598264092868,L6,S1FL,LineSource
221,3492.9913701921464,-1126.634833014761,-3051.2452640928677,L6,S1FL,LineSource
222,3517.0863701921467,-1132.673833014761,-3019.893264092868,L6,S1FL,LineSource
223,3541.1813701921465,-1138.712833014761,-2988.541264092868,L6,S1FL,LineSource
224,3565.2763701921467,-1144.751833014761,-2957.188264092868,L6,S1FL,LineSource
225,3589.3703701921463,-1150.790833014761,-2925.8362640928676,L6,S1FL,LineSource
226,3613.4663701921463,-1156.8298330147609,-2894.483264092868,L6,S1FL,LineSource
227,3637.5613701921466,-1162.8688330147609,-2863.1312640928677,L6,S1FL,LineSource
